T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
10277, -473, -719, -299, 10430, -39690, -52360
10297, -463, -699, -296, -1820, -70000, -41230
10317, -441, -664, -278, -12740, -80850, -46060
10337, -408, -607, -243, -23520, -80360, -58450
10357, -400, -590, -237, -41650, -85050, -53550
10377, -394, -567, -230, -68950, -100660, -25760
10397, -399, -569, -236, -88900, -121520, 3920
10417, -407, -585, -254, -99330, -143920, 25970
10437, -422, -622, -273, -97930, -159110, 32620
10457, -455, -688, -306, -92890, -161420, 25410
10477, -496, -775, -345, -87290, -158830, 15540
10497, -561, -907, -408, -82810, -158620, 10990
10517, -640, -1062, -487, -89600, -161980, 16660
10537, -720, -1205, -559, -98350, -171990, 27650
10557, -770, -1297, -618, -95620, -194670, 37520
10577, -774, -1300, -624, -74830, -240380, 46550
10597, -727, -1221, -593, -49140, -285670, 48230
10617, -681, -1122, -544, -34720, -313110, 44380
10637, -633, -1026, -499, -30940, -320320, 34160
10657, -632, -1018, -503, -28980, -324170, 22960
10677, -662, -1079, -538, -29890, -328510, 16030
10697, -716, -1179, -593, -23870, -330470, 2450
10717, -748, -1238, -619, -14280, -317870, -28350
10737, -737, -1210, -592, 1260, -302400, -71120
10757, -695, -1124, -550, 14280, -304500, -100030
10777, -651, -1035, -513, 13510, -328860, -99960
10797, -620, -967, -488, 5600, -354550, -88900
10817, -580, -892, -454, -840, -360500, -91490
10837, -537, -820, -411, -70, -345520, -113890
10857, -502, -767, -373, -1820, -318780, -140700
10877, -492, -757, -368, -16100, -288610, -155400
10897, -489, -760, -365, -36190, -260960, -155820
10917, -489, -767, -366, -47740, -236810, -152530
10937, -478, -755, -356, -46900, -217210, -149310
10957, -460, -731, -340, -37450, -201880, -145110
10977, -435, -699, -322, -29890, -190750, -132370
10997, -413, -667, -307, -30170, -179060, -109410
11017, -391, -630, -288, -35840, -159180, -84420
11037, -368, -591, -266, -40320, -128380, -65310
11057, -350, -559, -250, -39620, -93520, -49210
11077, -335, -534, -236, -32340, -62860, -29890
11097, -330, -528, -233, -20300, -37030, -5950
11117, -338, -541, -241, -8400, -12390, 21910
11137, -359, -580, -264, 350, 17430, 49070
11157, -386, -625, -284, 6160, 55440, 71190
11177, -422, -686, -311, 12670, 100240, 86310
11197, -475, -772, -352, 16030, 144690, 101570
11217, -546, -894, -418, 7910, 184170, 125300
11237, -615, -1015, -485, -7770, 218470, 152040
11257, -654, -1081, -521, -12390, 245000, 168560
11277, -655, -1082, -513, 27440, 272300, 171150
11297, -650, -1059, -506, 28700, 285180, 183190
11317, -661, -1053, -514, 7420, 308840, 197190
11337, -673, -1059, -522, -6720, 342020, 189910
11357, -688, -1070, -522, 3080, 373800, 161000
11377, -713, -1114, -534, 19110, 397740, 127750
11397, -756, -1195, -569, 22960, 414120, 103320
11417, -805, -1286, -611, 18480, 418180, 86800
11437, -837, -1357, -648, 22680, 405790, 70560
11457, -844, -1374, -653, 33810, 386190, 50680
11477, -814, -1318, -614, 38080, 372680, 25550
11497, -767, -1226, -555, 40600, 352450, 3570
11517, -708, -1132, -511, 52850, 310730, -6930
11537, -665, -1059, -477, 64540, 267890, -14140
11557, -638, -1000, -444, 61460, 248150, -29820
11577, -623, -964, -415, 43050, 257250, -60340
11597, -578, -899, -369, 53200, 222460, -72800
11617, -564, -901, -386, 75530, 142800, -47040
11637, -562, -899, -400, 48510, 104580, -28490
11657, -555, -858, -364, 5250, 129990, -49770
11677, -520, -788, -316, -4340, 136010, -78120
11697, -466, -706, -274, 18480, 78960, -74830
11717, -420, -646, -261, 40530, -3920, -40600
11737, -400, -596, -246, 31080, -48090, -8680
11757, -381, -558, -229, -5390, -37380, -350
11777, -371, -526, -208, -39550, -15260, -4270
11797, -360, -502, -197, -53830, -14210, -3430
11817, -361, -502, -197, -53970, -36470, 5810
11837, -371, -526, -216, -47390, -68530, 18830
11857, -398, -576, -248, -37100, -95200, 24850
11877, -431, -639, -277, -27860, -103390, 14840
11897, -448, -690, -289, -21770, -98350, -4970
11917, -505, -803, -345, -28280, -104300, -3640
11937, -599, -951, -433, -46130, -124810, 24150
11957, -692, -1161, -548, -60130, -148120, 49560
